Time (s),Temperature (°C)
5911.02,26.88
5911.08,26.88
5911.13,26.88
5911.18,26.88
5911.23,26.88
5911.28,26.88
5911.33,26.88
5911.38,26.88
5911.43,26.88
5911.48,26.88
5911.53,26.88
5911.58,26.88
5911.63,26.88
5911.68,26.88
5911.73,26.88
5911.79,26.88
5911.84,26.88
5911.89,26.88
5911.94,26.88
5911.99,26.88
5912.04,26.88
5912.09,26.88
5912.14,26.88
5912.19,26.88
5912.24,26.88
5912.29,26.88
5912.34,26.88
5912.39,26.88
5912.44,26.88
5912.49,26.88
5912.55,26.88
5912.6,26.88
5912.65,26.88
5912.7,26.88
5912.75,26.88
5912.8,26.88
5912.85,26.88
5912.9,26.88
5912.95,26.88
5913.0,26.88
5913.05,26.88
5913.1,26.88
5913.15,26.88
5913.2,26.88
5913.25,26.88
5913.3,26.88
5913.36,26.88
5913.41,26.88
5913.46,26.88
5913.51,26.88
5913.56,26.88
5913.61,26.88
5913.66,26.88
5913.71,26.88
5913.76,26.88
5913.81,26.88
5913.86,26.88
5913.91,26.88
5913.96,26.88
5914.01,26.88
5914.06,26.88
5914.11,26.88
5914.17,26.88
5914.22,26.88
5914.27,26.88
5914.32,26.88
5914.37,26.88
5914.42,26.88
5914.47,26.88
5914.52,26.88
5914.57,26.88
5914.62,26.88
5914.67,26.88
5914.72,26.88
5914.77,26.88
5914.82,26.88
5914.88,26.88
5914.93,26.88
5914.98,26.88
5915.03,26.88
5915.08,26.88
5915.13,26.88
5915.18,26.88
5915.23,26.88
5915.28,26.88
5915.33,26.88
5915.38,26.88
5915.43,26.88
5915.49,26.88
5915.54,26.88
5915.59,26.88
5915.64,26.88
5915.69,26.88
5915.74,26.88
5915.79,26.88
5915.84,26.88
5915.89,26.88
5915.94,26.88
5915.99,26.88
5916.04,26.88
5916.09,26.88
5916.14,26.88
5916.2,26.88
5916.25,26.88
5916.3,26.88
5916.35,26.88
5916.4,26.88
5916.45,26.88
5916.5,26.88
5916.55,26.88
5916.6,26.88
5916.65,26.88
5916.7,26.88
5916.75,26.88
5916.8,26.88
5916.86,26.88
5916.91,26.88
5916.96,26.88
5917.01,26.88
5917.06,26.88
5917.11,26.88
5917.16,26.88
5917.21,26.88
5917.26,26.88
5917.31,26.88
5917.36,26.88
5917.41,26.88
5917.47,26.88
5917.52,26.88
5917.57,26.88
5917.62,26.88
5917.67,26.88
5917.72,26.88
5917.77,26.88
5917.82,26.88
5917.87,26.88
5917.92,26.88
5917.97,26.88
5918.02,26.88
5918.07,26.88
5918.12,26.88
5918.18,26.88
5918.23,26.88
5918.28,26.88
5918.33,26.88
5918.38,26.88
5918.43,26.88
5918.48,26.88
5918.53,26.88
5918.58,26.88
5918.63,26.88
5918.68,26.88
5918.74,26.88
5918.79,26.88
5918.84,26.88
5918.89,26.88
5918.94,26.88
5918.99,26.88
5919.04,26.88
5919.09,26.88
5919.14,26.88
5919.19,26.88
5919.24,26.88
5919.29,26.88
5919.35,26.88
5919.4,26.88
5919.45,26.88
5919.5,26.88
5919.55,26.88
5919.6,26.88
5919.65,26.88
5919.7,26.88
5919.75,26.88
5919.8,26.88
5919.86,26.88
5919.91,26.88
5919.96,26.88
5920.01,26.88
5920.06,26.88
5920.11,26.88
5920.16,26.88
5920.21,26.88
5920.26,26.88
5920.31,26.88
5920.37,26.88
5920.42,26.88
5920.47,26.88
5920.52,26.88
5920.57,26.88
5920.62,26.88
5920.67,26.88
5920.72,26.88
5920.77,26.88
5920.82,26.88
5920.87,26.88
5920.93,26.88
5920.98,26.88
5921.03,26.88
5921.08,26.88
5921.13,26.88
5921.18,26.88
5921.23,26.88
5921.28,26.88
5921.33,26.88
5921.38,26.88
5921.44,26.88
5921.49,26.88
5921.54,26.88
5921.59,26.88
5921.64,26.88
5921.69,26.88
5921.74,26.88
5921.79,26.88
5921.84,26.88
5921.89,26.88
5921.94,26.88
5922.0,26.88
5922.05,26.88
5922.1,26.88
5922.15,26.88
5922.2,26.88
5922.25,26.88
5922.3,26.88
5922.35,26.88
5922.4,26.88
5922.45,26.88
5922.5,26.88
5922.56,26.88
5922.61,26.88
5922.66,26.88
5922.71,26.88
5922.76,26.88
5922.81,26.88
5922.86,26.88
5922.91,26.88
5922.96,26.88
5923.01,26.88
5923.06,26.88
5923.12,26.88
5923.17,26.88
5923.22,26.88
5923.27,26.88
5923.32,26.88
5923.37,26.88
5923.42,26.88
5923.47,26.88
5923.52,26.88
5923.57,26.88
5923.62,26.88
5923.67,26.88
5923.72,26.88
5923.77,26.88
5923.83,26.88
5923.88,26.88
5923.93,26.88
5923.98,26.88
5924.03,26.88
5924.08,26.88
5924.13,26.88
5924.18,26.88
5924.23,26.88
5924.28,26.88
5924.33,26.88
5924.38,26.88
5924.43,26.88
5924.48,26.88
5924.54,26.88
5924.59,26.88
5924.64,26.88
5924.69,26.88
5924.74,26.88
5924.79,26.88
5924.84,26.88
5924.89,26.88
5924.94,26.88
5924.99,26.88
5925.04,26.88
5925.09,26.88
5925.14,26.88
5925.19,26.88
5925.25,26.88
5925.3,26.88
5925.35,26.88
5925.4,26.88
5925.45,26.88
5925.5,26.88
5925.55,26.88
5925.6,26.88
5925.65,26.88
5925.7,26.88
5925.75,26.88
5925.81,26.88
5925.86,26.88
5925.91,26.88
5925.96,26.88
5926.01,26.88
5926.06,26.88
5926.11,26.88
5926.16,26.88
5926.21,26.88
5926.26,26.88
5926.31,26.88
5926.36,26.88
5926.41,26.88
5926.47,26.88
5926.52,26.88
5926.57,26.88
5926.62,26.88
5926.67,26.88
5926.72,26.88
5926.77,26.88
5926.82,26.88
5926.87,26.88
5926.92,26.88
5926.97,26.88
5927.02,26.88
5927.07,26.88
5927.12,26.88
5927.17,26.88
5927.22,26.88
5927.28,26.88
5927.33,26.88
5927.38,26.88
5927.43,26.88
5927.48,26.88
5927.53,26.88
5927.58,26.88
5927.63,26.88
5927.68,26.88
5927.73,26.88
5927.78,26.88
5927.84,26.88
5927.89,26.88
5927.94,26.88
5927.99,26.88
5928.04,26.88
5928.09,26.88
5928.14,26.88
5928.19,26.88
5928.24,26.88
5928.29,26.88
5928.34,26.88
5928.39,26.88
5928.45,26.88
5928.5,26.88
5928.55,26.88
5928.6,26.88
5928.65,26.88
5928.7,26.88
5928.75,26.88
5928.8,26.88
5928.85,26.88
5928.91,26.88
5928.96,26.88
5929.01,26.88
5929.06,26.88
5929.11,26.88
5929.16,26.88
5929.21,26.88
5929.26,26.88
5929.31,26.88
5929.36,26.88
5929.42,26.88
5929.47,26.88
5929.52,26.88
5929.57,26.88
5929.62,26.88
5929.67,26.88
5929.72,26.88
5929.77,26.88
5929.82,26.88
5929.87,26.88
5929.93,26.88
5929.98,26.88
5930.03,26.88
5930.08,26.88
5930.13,26.88
5930.18,26.88
5930.23,26.88
5930.28,26.88
5930.33,26.88
5930.38,26.88
5930.43,26.88
5930.48,26.88
5930.53,26.88
5930.58,26.88
5930.63,26.88
5930.69,26.88
5930.74,26.88
5930.79,26.88
5930.84,26.88
5930.89,26.88
5930.94,26.88
5930.99,26.88
5931.04,26.88
5931.09,26.88
5931.14,26.88
5931.19,26.88
5931.24,26.88
5931.29,26.88
5931.34,26.88
5931.4,26.88
5931.45,26.88
5931.5,26.88
5931.55,26.88
5931.6,26.88
5931.65,26.88
5931.7,26.88
5931.75,26.88
5931.8,26.88
5931.85,26.88
5931.9,26.88
5931.95,26.88
5932.0,26.88
5932.05,26.88
5932.1,26.88
5932.16,26.88
5932.21,26.88
5932.26,26.88
5932.31,26.88
5932.36,26.88
5932.41,26.88
5932.46,26.88
5932.51,26.88
5932.56,26.88
5932.61,26.88
5932.66,26.88
5932.71,26.88
5932.76,26.88
5932.81,26.88
5932.86,26.88
5932.91,26.88
5932.97,26.88
5933.02,26.88
5933.07,26.88
5933.12,26.88
5933.17,26.88
5933.22,26.88
5933.27,26.88
5933.32,26.88
5933.37,26.88
5933.42,26.88
5933.47,26.88
5933.52,26.88
5933.57,26.88
5933.63,26.88
5933.68,26.88
5933.73,26.88
5933.78,26.88
5933.83,26.88
5933.88,26.88
5933.93,26.88
5933.98,26.88
5934.03,26.88
5934.08,26.88
5934.13,26.88
5934.18,26.88
5934.23,26.88
5934.28,26.88
5934.34,26.88
5934.39,26.88
5934.44,26.88
5934.49,26.88
5934.55,26.88
5934.6,26.88
5934.65,26.88
5934.7,26.88
5934.75,26.88
5934.8,26.88
5934.85,26.88
5934.9,26.88
5934.95,26.88
5935.0,26.88
5935.05,26.88
5935.1,26.88
5935.15,26.88
5935.21,26.88
5935.26,26.88
5935.31,26.88
5935.36,26.88
5935.41,26.88
5935.46,26.88
5935.51,26.88
5935.56,26.88
5935.61,26.88
5935.66,26.88
5935.71,26.88
5935.76,26.88
5935.81,26.88
5935.86,26.88
5935.92,26.88
5935.97,26.88
5936.02,26.88
5936.07,26.88
5936.12,26.88
5936.17,26.88
5936.22,26.88
5936.27,26.88
5936.32,26.88
5936.37,26.88
5936.42,26.88
5936.47,26.88
5936.52,26.88
5936.58,26.88
5936.63,26.88
5936.68,26.88
5936.73,26.88
5936.78,26.88
5936.83,26.88
5936.88,26.88
5936.93,26.88
5936.98,26.88
5937.03,26.88
5937.08,26.88
5937.13,26.88
5937.18,26.88
5937.23,26.88
5937.28,26.88
5937.34,26.88
5937.39,26.88
5937.44,26.88
5937.49,26.88
5937.54,26.88
5937.59,26.88
5937.64,26.88
5937.69,26.88
5937.74,26.88
5937.79,26.88
5937.85,26.88
5937.9,26.88
5937.95,26.88
5938.0,26.88
5938.05,26.88
5938.1,26.88
5938.15,26.88
5938.2,26.88
5938.26,26.88
5938.31,26.88
5938.36,26.88
5938.41,26.88
5938.46,26.88
5938.51,26.88
5938.56,26.88
5938.61,26.88
5938.66,26.88
5938.71,26.88
5938.77,26.88
5938.82,26.88
5938.87,26.88
5938.92,26.88
5938.97,26.88
5939.02,26.88
5939.07,26.88
5939.12,26.88
5939.17,26.88
5939.22,26.88
5939.27,26.88
5939.33,26.88
5939.38,26.88
5939.43,26.88
5939.48,26.88
5939.53,26.88
5939.58,26.88
5939.63,26.88
5939.68,26.88
5939.73,26.88
5939.78,26.88
5939.83,26.88
5939.89,26.88
5939.94,26.88
5939.99,26.88
5940.04,26.88
5940.09,26.88
5940.14,26.88
5940.19,26.88
5940.24,26.88
5940.29,26.88
5940.34,26.88
5940.4,26.88
5940.45,26.88
5940.5,26.88
5940.55,26.88
5940.6,26.88
5940.65,26.88
5940.7,26.88
5940.75,26.88
5940.8,26.88
5940.85,26.88
5940.91,26.88
5940.96,26.88
5941.01,26.88
5941.06,26.88
5941.11,26.88
5941.16,26.88
5941.21,26.88
5941.26,26.88
5941.31,26.88
5941.36,26.88
5941.41,26.88
5941.46,26.88
5941.52,26.88
5941.57,26.88
5941.62,26.88
5941.67,26.88
5941.72,26.88
5941.77,26.88
5941.82,26.88
5941.87,26.88
5941.92,26.88
5941.97,26.88
5942.02,26.88
5942.07,26.88
5942.12,26.88
5942.17,26.88
5942.22,26.88
5942.28,26.88
5942.33,26.88
5942.38,26.88
5942.43,26.88
5942.48,26.88
5942.53,26.88
5942.58,26.88
5942.63,26.88
5942.68,26.88
5942.73,26.88
5942.78,26.88
5942.84,26.88
5942.89,26.88
5942.94,26.88
5942.99,26.88
5943.04,26.88
5943.09,26.88
5943.14,26.88
5943.19,26.88
5943.24,26.88
5943.29,26.88
5943.34,26.88
5943.39,26.88
5943.44,26.88
5943.49,26.88
5943.54,26.88
5943.59,26.88
5943.65,26.88
5943.7,26.88
5943.75,26.88
5943.8,26.88
5943.85,26.88
5943.9,26.88
5943.95,26.88
5944.0,26.88
5944.05,26.88
5944.1,26.88
5944.15,26.88
5944.2,26.88
5944.25,26.88
5944.31,26.88
5944.36,26.88
5944.41,26.88
5944.46,26.88
5944.51,26.88
5944.56,26.88
5944.61,26.88
5944.66,26.88
5944.71,26.88
5944.76,26.88
5944.81,26.88
5944.86,26.88
5944.91,26.88
5944.96,26.88
5945.02,26.88
5945.07,26.88
5945.12,26.88
5945.17,26.88
5945.22,26.88
5945.28,26.88
5945.33,26.88
5945.38,26.88
5945.43,26.88
5945.48,26.88
5945.53,26.88
5945.58,26.88
5945.63,26.88
5945.68,26.88
5945.73,26.88
5945.78,26.88
5945.83,26.88
5945.88,26.88
5945.93,26.88
5945.98,26.88
5946.04,26.88
5946.09,26.88
5946.14,26.88
5946.19,26.88
5946.24,26.88
5946.29,26.88
5946.34,26.88
5946.39,26.88
5946.44,26.88
5946.49,26.88
5946.54,26.88
5946.59,26.88
5946.64,26.88
5946.69,26.88
5946.74,26.88
5946.79,26.88
5946.85,26.88
5946.9,26.88
5946.95,26.88
5947.0,26.88
5947.05,26.88
5947.1,26.88
5947.15,26.88
5947.2,26.88
5947.25,26.88
5947.3,26.88
5947.35,26.88
5947.4,26.88
5947.46,26.88
5947.51,26.88
5947.56,26.88
5947.61,26.88
5947.66,26.88
5947.71,26.88
5947.76,26.88
5947.81,26.88
5947.86,26.88
5947.92,26.88
5947.97,26.88
5948.02,26.88
5948.07,26.88
5948.12,26.88
5948.17,26.88
5948.22,26.88
5948.27,26.88
5948.32,26.88
5948.37,26.88
5948.42,26.88
5948.47,26.88
5948.53,26.88
5948.58,26.88
5948.63,26.88
5948.68,26.88
5948.73,26.88
5948.78,26.88
5948.83,26.88
5948.88,26.88
5948.93,26.88
5948.98,26.88
5949.03,26.88
5949.08,26.88
5949.14,26.88
5949.19,26.88
5949.24,26.88
5949.29,26.88
5949.34,26.88
5949.39,26.88
5949.44,26.88
5949.49,26.88
5949.54,26.88
5949.59,26.88
5949.64,26.88
5949.69,26.88
5949.74,26.88
5949.8,26.88
5949.85,26.88
5949.9,26.88
5949.95,26.88
5950.0,26.88
5950.05,26.88
5950.1,26.88
5950.15,26.88
5950.2,26.88
5950.25,26.88
5950.3,26.88
5950.35,26.88
5950.4,26.88
5950.46,26.88
5950.51,26.88
5950.56,26.88
5950.61,26.88
5950.66,26.88
5950.71,26.88
5950.76,26.88
5950.81,26.88
5950.86,26.88
5950.91,26.88
5950.96,26.88
5951.01,26.88
5951.06,26.88
5951.11,26.88
5951.17,26.88
5951.22,26.88
5951.27,26.88
5951.32,26.88
5951.37,26.88
5951.42,26.88
5951.47,26.88
5951.52,26.88
5951.57,26.88
5951.62,26.88
